,gvkey_focal,year,gvkey1,gvkey2,score,gvkey_peer,focal_ticker,focal_company_name,focal_cik,focal_primary_sic,peer_ticker,peer_company_name
630,011672,1989,11672,6502,0.0575,006502,TJX,TJX Companies Inc.,0000109198,5651,KR,Kroger Co.
632,011672,1989,11672,7241,0.0187,007241,TJX,TJX Companies Inc.,0000109198,5651,CVS,CVS Health Corp.
660,011672,1989,11672,11259,0.1016,011259,TJX,TJX Companies Inc.,0000109198,5651,WMT,Walmart Inc.
694,011814,1989,11814,2184,0.0446,002184,COST,Costco Wholesale Corp.,0000909832,5331,BBY,Best Buy Co. Inc.
708,011814,1989,11814,5680,0.0185,005680,COST,Costco Wholesale Corp.,0000909832,5331,HD,Home Depot Inc.
724,011814,1989,11814,11259,0.0299,011259,COST,Costco Wholesale Corp.,0000909832,5331,WMT,Walmart Inc.
791,012141,1989,12141,3813,0.0145,003813,MSFT,Microsoft Corp.,0000789019,7372,TGT,Target Corp.
967,001690,1990,1690,3813,0.0367,003813,AAPL,Apple Inc.,0000320193,3571,TGT,Target Corp.
997,001690,1990,1690,12141,0.0329,012141,AAPL,Apple Inc.,0000320193,3571,MSFT,Microsoft Corp.
1046,002184,1990,2184,5680,0.0056,005680,BBY,Best Buy Co. Inc.,0000764478,5731,HD,Home Depot Inc.
1054,002184,1990,2184,11814,0.0247,011814,BBY,Best Buy Co. Inc.,0000764478,5731,COST,Costco Wholesale Corp.
1073,003813,1990,3813,1690,0.0367,001690,TGT,Target Corp.,0000027419,5331,AAPL,Apple Inc.
